type,plaintext,ciphertext
Columnar,jtrefjqugqqvfqsdefmbikoscbkltceb,tqvekkbruffolxfqsbccxegqmstxjjqdibe
Caesar,nruiuyxmkgolmlaufhgnabrqjryokvymhafqhcgftzjyaqvdweeuasgcgnqdhejkzmtmgciqazmlcfjgghunddpwzd,hlocosrgeaifgfuozbahuvlkdlsiepsgbuzkbwazntdsukpxqyyoumawahkxbydetgngawckutgfwzdaabohxxjqtx
Caesar,ixwhglyckuedesfswzsilzgslsaesybxncinkmztapbejefvkerpbnybzvljkvndzyeopzpjegzdq,bqpazervdnxwxlylpslbeszleltxlruqgvbgdfsmtiuxcxyodxkiugrusoecdogwsrxhisicxzswj
Hill,yyzedraxdnimopszclzoigmhaqqqcnhzbcglpolsw,sufittsjrfimynehgfxeseaziemwuzltlaudbwpmel
Hill,ctvtupzckvyprqecahtynpffkkblvlzskmdbckcuqvysnuwnitstrasausvmjyqiubtvcthvuyzpv,hffutlarrzjvwxukbnuprargimnwpugrmmbocswspbcionxdfhttqxugmyehgdcorlbchffyyynenu
Hill,hprxnscqmobebkfzmhckgxbrryfswllvbm,xefirhkwkmhvrtniuxaykfhilzxtelrwdb
Columnar,tihxwsujsrgsxiwejinzbzjzgmajcypyw,ssizyxtuxngpxrezjxwgjjcxhswbawijizmy
Hill,ugdtpqielkoxmwquxegmklghffiaglovksqrsdzzefieqqjqiwrbzgmbwrezcmabvnvtjvdceykasatfwtib,uevamhggotxjcokgmvqanltjzwyibhtxoorbvxvgjvggciubqkbkwjzfjhxlewptlixsrsapisekcspkntnb
Vigenere,srgvanphcxnntcqchxquaxemjajivgqbmdnzxzsylpawavpwyormdtxixnlymlnjqsmwgvzycytgi,cqwgvuzgsiiudbgnceatqizttzztqnaacoighyijgwkvqgkdinhxyahhnygfwkdulzwvwgufmxjrd
Columnar,xlthnducebcskhzmiueopsfxketzrzanrqvovjngaui,tezptrnxlchoenjxncifrvaxhbmszqgxdsuxzouxxukekavi
Vigenere,pawlzxugrtcawbwjpotmyqdeeyhexuhqjbayhkhxhwpmzyjiypxuooyhajledktnmyveqbprjqxjkdwemelvyvcygqmduknhvpn,xouyvvcupgyyepuwlmbawdzcmmfrtspehowwpyfkduxaxlfggdvhkmgvywhclyraiwdsoolprevwgbeskrhtgjalcoursxjfddl
Caesar,lwstwslmngzvpkueuwcivbedszseftwgncwhgvhataobf,pawxawpqrkdztoyiyagmzfihwdwijxakrgalkzlexesfj
Hill,uvfcdydaydiozpuumdbsvvvzybtkqkidnqkjpstbovzltnli,bfxyhgvihpysuvuebjdmizkdtnvaaszhvqdbxgkrlpsrqddu
Vigenere,vzzfnbxpueeklukvnwvfoudnoxhblcxhzfhvcqeyclnnxocgbcgsdminkyxkdhknfxnbckxwwtmdlcsebivyagdswjskgnckmyy,rjrwdxhhluaudlarxomvkeveetrtcstrrwxrmivoyvfenkmyssccvdyjuqoazrcevtxttatgokczvujuxsnpqcnknzouyesgwqp
Caesar,acgouocegwnbuzusaluvrvlobezgrgelclsncpdrgipfkfpppmkcwntybq,lnrzfznprhymfkfdlwfgcgwzmpkrcrpwnwdynaocrtaqvqaaaxvnhyejmb
Vigenere,svuywsjkqfyiehtncssaqzioaibyvqasczucwurlcrybwnctgqnnysngpnmwp,jnawpdtbilwbprkfiqllaqauybmimigqvketoapenbptclveqhftwlyqgfsui
Vigenere,woelukjosraunteyaxrkyptpipzliypenkbrfcuvpukijhdkdzphpupav,uqfzeatmusoeddcablbainvqwzpvgaqsxalphdiffeikkvnanxridefkt
Caesar,smxunhkgzvurupyphmawoafzfxshaabphvxzlbypnawxacljslzdepqeewxamkpbahomvhdhvskamveq,ztebuorngcbybwfwothdvhmgmezohhiwocegsifwuhdehjsqzsgklwxlldehtrwihovtcokoczrhtclx
Columnar,qmbcjattlgnvbitygommmazizzlaapsvxqbkvdxwmhqxojvtibddsedrwtyyuhethlslzhweoghwajvly,timabhirehaxabmlqmtdhzwxjvmzxwveulhxcnozvxjsysgymlyzpvxdthevbggisdodylolqttaakqbwtwj
Vigenere,pocvpulizzuflqksflpukhnixnbbdujqugvpgsnfsxvqrvuxkbbtwwrxiuvqchpwjudclbzeiy,lisdxwhcphchhkaannloapvkthrjlwfkkodrcmdnazrkhdczgvrbeynrycdsybferwzwbjhges
Vigenere,xwgkttoczfpwttyxsvfrinairdexmboiojprykvlazpkpnm,koupgggqescohylkkjkevfoneqwlrobacoceqyaynrdpcae
Vigenere,hpflymcmnxcvepuobvnueihikfxsyyltgbgsnpssnppkgdsqhjrmjlwwyffktrabvcnbehecegsgrugzmgtetuzvywteyyd,lpmtcmjurxjdipbwfvuciioqofeacysbkbnarpzarpwskdzyljyunldecfmsxrhjzcujihlkigzovunhqgamxugdcwamcyk
Hill,wnrprkamhptphjerirnqnjnhfgfbscxbaflsbkus,tmrfsviytjbzpxbwvkcttfjbqxrnwcdlzkcdqric
Caesar,zzpiturxfxqchulapmeklsconbdobiviqbpozvmjrdldezuodjelerjdwwy,bbrkvwtzhzsejwncrogmnueqpdfqdkxksdrqbxoltfnfgbwqflgngtlfyya
Columnar,xpsgutggzsvrnpgnrfwuduluyazszhohoiglszgmfiwexedwnygwfjonstnixl,xzryofnstpuhzejlgruslewipsfaiiytgglogdoxgnuhmwnxsvwzgwgnundzsxfx
Caesar,anwwbrhwbgqzvqzcckvlsfbzaqfbmndzyjjcztfsqseab,iveejzpejoyhdyhkksdtanjhiynjuvlhgrrkhbnayamij
Columnar,ofrkoinalsxuzjzrgxtqkqvbyklsgvlvgcuebxwdnnmrpnyghuizdomorwgrnvpprbdeugnbexcfxjyhydnxmspjycoqfer,nzvlwympnyprarbvdgopbhjxkuqserzrefxqozkgbpdnuxmfijqvxnovgjseolgygnhrreyyfsxkcnuwbxdcrxtlumigdcno
Vigenere,xoougotjgdrsshipqlubmyecrhgkxipfkyixnkxhhqkiodrcfzesarhhepzuujygzmbuuqstjnfxnhhgcjyhdgbuarisio,jvwfoxfqoozbeoqayugiujmldoovfrbmsjqgzrfspzwpwozlrgmdiatomahdgqgrhvnbcbacvunivqtnkugqpnjfiauzqz
Vigenere,ikmrotedbtoioprpzwvmwsshdkbjjivxjd,mkxdioszftzuikfldwgyqngdhkmvddjtnd
Columnar,pszpqsbrcchnxvsdgciuizwurnosksezsfziptbyjjofdwesxkndllwnadjwvomjagonyfcywhpvowdmzwtwszoafsomperdmjv,sscvcznsftjwkldogfhwwzsejpqcxgirkspjdxlavaywozsfpmprnduusziyfsdnwjnyvmwamdxzbhsiwoezboenwjmocpdtoorv
Caesar,myasaksqcrwuhcegipsuaexcwsbpekbxvjluikqbednurhzugefepckfqecsufuxns,amogoygeqfkivqsuwdgioslqkgpdsypljxziwyepsrbifvniustsdqytesqgitilbg
Hill,ryragpxvopdkoitvzrkorkmmwpxrzmrlo,zdxxajroudrxoyhensywntsuoxvafhzqmf
Caesar,tjhwgxjzetnvytvnaegceovyxthltpkboolbpxwsnzqfbwbtmpctbjtml,xnlakbndixrzcxzreikgiszcbxlpxtofsspftbawrdujfafxqtgxfnxqp
Columnar,kqlpyhrzodbtsqtodokgetfhmhmtjyatoyehajfwoigutmscnusihgzlyscbvyacdx,hqtyjmgyxzohtwclcxrtfafszaxkodmoonydqdohyiusxptgthuibxysejathvxlbkmegscx
Caesar,hbnfmreemvhnnmdyhhdaqcfrtdmtgssqyvzyvdtthhcakdzqfjmcdkqlfrsusgokflplcoqbczzpjuxblbmzax,oiumtylltcouutkfookhxjmyaktanzzxfcgfckaaoojhrkgxmqtjkrxsmyzbznvrmswsjvxijggwqbeisitghe
Vigenere,nhukwojwmysczwlvqwmdnlulsaxabwmcotwypzojnnaffteihrdmcfgqnvjdbxy,wdvwfkkivutoismhzsnpwhvxbwymksnoxpxkyvpvwjbropfuqneylbhcwrkpktz
Columnar,cgewvdmkustyxbatqojarztugomffjbqyjhhbosgsijpwdmmq,cdttrobhsdekxotfyojmvsaagjhgwxgmyqzmqbimwubjufjspq
Hill,npmimdmqbinhrecucrmgxqqtxxvqplcgppvpqczjtujcwztsg,tjsaqxqkruvzxgugyzmerqkfzpfwtleifdplyavlfuvimbzyob
Vigenere,sexlpucnleltwslfydtezjvbfoqjuyozaa,rhvwctflwrkwudyebberymtmsnthflncyl
Hill,gfvkqcsxsrkbdxdkqtdendjvyewsbxfjs,juvpwchgjoducnpnzorvmjwzygkqkhqdhg
Columnar,rhgvijdxlcvioulozxtkdsncsksxixhfjwacv,iodivvikxcjusxxhcxkwrlzsjgvtsadlnhxxocfx
Vigenere,pfttkwhbijfenhzgzlfsopsdeqcnsujiffopnlsnwwbivxtvlkercmazzsrbdiytozelhrjdtwkibbdizomiudr,yaccgfckrfozwqvpuuooxkbmazxwbqsdookyiubjfrkrrgoeugnmlvwiubaxmdhckizuqnsycfgrwkmeijvrqmm
Hill,goxqymossvbgjottzzcexgglsdvfoew,yknpmecuabljzbruvoccbvkrurnmgsct
Hill,ahxehaaqufoxymxsqjkewraowwunazqdluugwknccfaeets,ryidezyofsxkciqzfkiqnsiwoyrmfejiopaowuqfrcgkpudc
Caesar,odqelnwftawbrxzesoncjbckqigzurmdaefmcnmqtwgegpsyvlsrkm,wlymtvenbiejzfhmawvkrjksyqohczulimnukvuybeomoxagdtazsu
Hill,xmmgdmvtlochzwpbertzyfknvspulgsfwfdykngwhrjrumhumamamstbqjwpnsmtdwbodbdyaslcbivp,rmckricrjalldgwtxfettznptolypctdtjvsnpqkkdkteolmasasguwzdzfntcpxdmjywbvsgcfqhgsf
Caesar,wlaoavaooufeuyptcnojibybxxjyjboejxdwitrsmejvawllzsnbhbrzwvkwwpomomakgramvbkwrbbdceqeh,crgugbguualkaevzitupohehddpephukpdjcozxyskpbgcrrfythnhxfcbqccvususgqmxgsbhqcxhhjikwkn
Caesar,omwsqguwsgsrsdybsrboeblhnehqjpuvuuqtxdrtqbpiixfyirqjspmrnayzsog,cakgeuikgugfgrmpgfpcspzvbsvexdijiiehlrfhepdwwltmwfexgdafbomngcu
Caesar,tsucwogcqzfajkbyncujkckdekpqvuoehhhqwbsyjdgftvjw,zyaicumiwflgpqhetiapqiqjkqvwbauknnnwchyepjmlzbpc
Columnar,fddoixdnssjfxemsrtphygdgcpaeujnxmmrjzfubyeczkqhiuekkvjviqapfrpggbscnrvtt,onfshgexjbzikifgntddjmpdanruchkvpgctdxsetgpjmfeqejapsvfisxrycumzykuvqrbr
Vigenere,sappmtjqasgulwepcoztyhguxxwxtgflywyekrniozgwhbfuoreljfpttzggzikjzyydzcfzkjfgujftfvdwciycleyrukzasej,bnvxkmtyjfmcjpoxlbfbwaqcgkcfrzpthjemikxqxmmefupcxekthyzbcmmoxburilelxvphtwloscpboijeabikurezsdjibrp
Vigenere,kqzxorwrixogkuvyzyxkagthccsvsmypswubykmekhlyajqdwvjltkredpyegskamsule,shvfvznnqewxgccgqufrixppjkjratggoebjpgulsyhghrhzecrcpsymulglojgitalhm
Caesar,ogoauvuozeezhpdeudyevcrxchwgktkwo,asamghgalqqltbpqgpkqhodjotiswfwia
Vigenere,jcurivgyfzenjrxcfrmhapnenrvqufurdiqqmkuoyahhusgyucpobgnhibqxjjlrwarmdfptmdfduhajolseowxxi,sholraasoeyhswrwowgbjuhywwpkdkolmnkkvpoihfbbdxasdhjiklhbrgkrsoflfflgmkjnvizxdmudxqmyxbrrr
Vigenere,bbltlsyxyfeyxenkzirotsjufgybxzugbglrqseertwcebo,koslnbleqhnlewptmpjqcfqmhplipbdtiynadzwgagdugkb
Caesar,ocncocultbijwzrbqzzqjucxxyobaahphvos,xlwlxlduckrsfiakziizsdlgghxkjjqyqexb
Columnar,pidgvtjoyptdwtarxuhdefnrnofeyinuecstrqlqxqrerwazvohayrjdodtvkjyawsnt,vdhoeqarktgtunulwyvniyrnirehdwdpxrnqratstwdfcxzjjxjteesqvdyxpoafytrooa
Columnar,nkmohxqlmzmhjkqfkjkiuzbefedwbwbqiltigichopyyvxcmfnvkmnryylxafnknfknnzcci,ozfzwlhxklncxhjewipmnakihmkbbtocmxfcklkieqiynynnnqjkfbgyfrfnmmqudicvvykz
Columnar,qilcjmtjbfntvhudedlwhgyqwwgtbojnqpmvupmai,thhtmxlfeqjpmvwgpiibdyoucndwnmqjugbvjtlwqa
Hill,lmqhgldyaodmajceabdulifsvimvblirojvwppkfamvdatcasvinnyfvgnqcxcczctjflnrfrfxftklmbqy,jptqzytfautznyegnutdjnxtdhlccbdspadbefhqagqlnqeexodqnzkbzmguhvrkrusbwjirirudzrjppxjo
Columnar,rquxovfuoeodalqhglwyhgmuscrurmchabovlyglcyghdisiebrplyppnkqoncvnxef,oahrldlnxuhuhlipnxfqmcgspvxqelcbybkevlgmyiycxxdyuvhpoxuowrogrqfrogsacenx
Vigenere,trbkjzulbbrukavcuibynpkjmnunuwoeeqqgvbmwp,jqiofmkkifnhazcgqvrxutgwcmbrqjedlumtlatal
Vigenere,yrufhhrsgkglzfmjaydxgvhrztktmcoqvdwtnuwrzkutjyckgycgnbsnfnshsoewkmxrp,qbepvbrkquqztfetkirrgnrbjhetemyajxwlxegftkmdtiqegqmqxpmnxxcrgieouwhfj
Hill,kowtfwuvmyaoacjoxmmjdthghezpxgesautnstaejmnxvuidbotgghzwrdaudzzo,sudnatjpkucyewgxoltljsstoxfmcxgeomhihziscbhggbljovgjvhglpiomvgqb
Vigenere,hqdqnjzlucpbneeqaqtcwqwoqffauzpwaqhtjrsraoxbcncaxiblhrwxutxdfkziirhhlofbizfchahothp,cmekifafpyqviafkvmuwrmxilbgupvqqvminentlvkyvxjdusecfcnxrppyxagacdnibgkgvdvgwcwiiodq
Caesar,klwbvofrwrdwhlgycqhzzkyaedknqqfpxdjpkctwkfryfo,uvglfypbgbngrvqimarjjuikonuxaapzhntzumdgupbipy
Columnar,mkgnshkjoxbbigckdokjtypspamfcjzjozimnpzsetldxthtqguvwvjcbvgrkeydszxhsexcnlykmbyxncselhktb,msoidtpconexqwbkssnmnlbgkbckpmzizlhujgyxxyyskxnjbkjsfjmsdtvcrdhckxetxkhxgoyajzpttgvvezelbchx
Columnar,pairajeqaeilkqyavokmbswwelavooaitff,pjiablaaeymeofiqkowvtraqkwofaelvsai
Hill,ftuxdkdrneaqcywupicddqmhtvpeluefuszunflnsxrzdygkusjnaajzfxpnqspyidr,atjsxdmtdlmsycqozxfgvnzwyzjzjptgcozjuruzdeijbjgycoolaakfqrgbqmlpxwax
Vigenere,pnxkngjjrveitesafldegxnndwiwtuyalboxbkkernibhmolrepldqpxnrpsruuvdqaumgxerl,gbmlrxzafkfmkujoumhvwobceazmkinbpseopzliidzpwnschvdaeugnefetvlkmrfbydwosgm
Columnar,ilinestdpxbaypzkkyytqlvdcpwgujfqmtmtjkblmpswsiwwwekaxvid,ipzqwmbskxldptpqkwednxklgtliaxsaydjtpwvxityycfjswiebkvummwxx
Columnar,oeegfejmzpufjtxxacgsfwgqupleukoyihnmeiujgqiqiyzughpzaygltlxjrkavlbobxapbvfuodgquftvnyfruwxtbpqve,omxwumihtvpgybgucuyuyajoffuvffgpijzyrbutweepaqoiizxbvurqjtfenqglaadntxejslhgugkxovxxezxgkeqpllbqfp
Caesar,gpmgyodksljjxtzrjydvdmnxnofmjmtvzafwnlprmeofm,zifzrhwdleccqmskcrwowfgqghyfcfmostypgeikfxhyf
Hill,nlrdgxzmhrdjplitjolhoouzoqybslmbvsppghawmggvwpjwweqvujwhogjownevkcxwbcbshguvlvgszsu,dorqbfobroburavtqvvemmfxwyrhzflnqnlyzngckertvbersajbdfhfyqqvlpdhcuyxefgxonlznkcoslvl
Columnar,neftojgopwcsfckzddfbqbioektlzoegixzdgmrqwclcqo,epziogcjfbtxwxfwdoemqtcdegroosfkiqxnokbzdlgcqlzcx
Hill,izpavmhjpxdnmvdgwhyzigjepjlozlwgumyhnaxymlmfqjvewxngfdbefiqxifxonadd,wxjljxvatahkknntcvqhqozxfsfxnyoayyytnnrnalupqrblsttjtgpflhezcthlnnxi
Vigenere,jxgfdgpkjtaszndcfjoqslaobnqyakovudywxvrbxdlzbvzfdvrloryuqdnrlgffjqybnzvp,feqrzrbnfakevypfbqycowmrxuakwvayqkiitgdetkvlxglizcbxkckxmkxdhrrifxinjkhs
Columnar,vdwgyshfqrzjwovbyakhajkyfazfvijwkyvlilqrtqgelcodmznyrwivuggqxkwhypqywbrcfvtfinafmssude,gzafwqcrqqvmxswhzytdikwfsxwryyjllygpffxdqbkiiengycaehoafvqmvwbiuxyjkakrowxytsxvfvjvlgzuhrnd
Caesar,rtxbdbqvxoznebepghpxuoahwsxrkqkeqfdwfqkwnaynayhuxyltlsnrwipftqpblgrrxebgzqoznetegtnyquufyxqbtamk,vxbfhfuzbsdrifitkltbyselawbvouoiujhajuoarecreclybcpxpwrvamtjxutfpkvvbifkdusdrixikxrcuyyjcbufxeqo
Hill,brirxuekpmrpxilxgyjwlkivhanggsomgtvbgcwjujosocpgojlmhhibpvxyhzlsqz,buvjkdeecrrykhlggqwhytvzupalgsoatjvkggjhhzoyomctbbybhevxpokthyyzdv
Vigenere,sgdnqyswakopnrjgqtbexphsabdsrcgtd,mtksgvoqnrtfkndtxyrbtjuzfraolpnyt
Vigenere,ophrmrfhhqaudrzecfjzzvupwlmwljhvsrvrgpbmagijvqwxcpxlututurvqrvfwkxqugmxmhzupxexfnrfqm,mudnvpkddzyzznichbfixaqlfjrshsfaonepllxvylefeobtyyvqqpdrznrzpabstvvqcvvrdvdncatolwbmv
Vigenere,qjjcvsbcizheedpalbguuwjdvelbssoodrlvtmzwuiguyaguuhvkzjsmwguvvadhteppuevxambc,ebjoycbmwrhqhnpkztggxgjnjwlnvcoyrjlhwwzgiaggbkgeizvwctswkyuhykdrhwpbxovhoebo
Caesar,dutflgpmdmomdlgnqklsozsviwboedkyejwxxxnrjlzyxtqhwhseanrbx,wnmyezifwfhfwezgjdelhslobpuhxwdrxcpqqqgkcesrqmjapalxtgkuq
Hill,gcnlnaeutxjptlmwwyidaxfyhzyhnxjqlgnlozsywlxsglfjqqzkxaliyukoyapujkrgdpuoqdzdsyoowmxuxlhnwqcycfwmjc,uctqansijqhytimqgernjlgfdqfdjyediltqdlgstrydtvzieywvarcvsqkwauspwzidhgkarlrmgskiqwsntunieqgwlfqwul
Columnar,yzjgiffyycavcrfeuoutqobnzufkrmpgtnfu,zfcrooumnjfafubfpfyiycuqzrtgyvetnkgu
Vigenere,hjfgoblzkveudancvijvokeazhxxxnagngrvqvcvjhavvepmxcgoclgalyw,ktqcfevkgmheowefftfmrupwqkhitedqyciyagymmrlrmhzxttjynhxdvjs
Hill,kdvflcwrxjnyymdvjfdeifeztibozzztrxabpchdmwchvxov,difjcbrcvhujgirbhrstfwfekzsxvddrzndckhxxmkzehtny
Vigenere,xdaqwrtcgxtkfubbtlstpxsmayzuchvpytyyuzukbzbtblcrydiigfsqzyqrdjvpldzkppwxonjuqhpsaprauctvvuwmufcrqq,xmthcincpqkqwobkmcykjxbfreqocqogeksydslqstbcuciisdrbxljkzhjijappuwqqgjwgheplkhylrviuulmmblqmdytxhk
Columnar,mbamrpoautkjcylfsqxervsghtvqxsurttbkkrgmqxjwpyxiolm,pjqgskxixaulrvtgpmmocxhukjobayetrrwlrkssxbqxxmtfvqtmyx
Hill,qqldktdzasachupesyhsviyitqqpattnsbfkyhcmosgtgfvhxuzneikbvrhpbdwvervwcjhckwnvfcvqlierzugvxlurjjyzkbo,gotszrlgkkeeolijwskhqhqcgjrzzznqpludbnymkezpxnbsotngqsphvmrotadbvxsjftebskdqengxqpvxohdtjovffqlxphhb
Caesar,uozuvnzakotzsqxaalqzncikuailgsjlenxgqrcwxkoerhofzn,tnytumyzjnsyrpwzzkpymbhjtzhkfrikdmwfpqbvwjndqgneym
Caesar,igvrsxagcicvcssqjadedhwdykqiridxcvfweigpfkziquumslychgzx,getpqvyeagataqqohybcbfubwiogpgbvatducgendixgosskqjwafexv
Caesar,iqfsfajmuqqtftmylnvsohvblnzygttt,bjylytcfnjjmymfregolhaouegsrzmmm
Caesar,emmznsyvrwrthtzdcpzfhzyfdwfrmstpmumnpdaftujlxizphfparklkvazvycpipwgmhggfwzwqgmtwyakxeuetepe,vddqejpminikykqutgqwyqpwunwidjkgdldegurwklacozqgywgribcbmrqmptgzgnxdyxxwnqnhxdknprbovlvkvgv
Caesar,sbcffibrhqqnraxlgoevhstorxfcajfvxtivzkhektwhciipnxepiomdtsntaqksnukjcwvfqmyyxewdxxkxjwjdprcrfguqdbx,enorrundtcczdmjxsaqhtefadjromvrhjfuhlwtqwfitouubzjqbuaypfezfmcwezgwvoihrcykkjqipjjwjvivpbdodrsgcpnj
Hill,gnxxdxhukajptdlnxwobtklfudttupfakjlptrtvtwynjobfcopagwhqrjpoiirporycmi,vkkpszhrwiutudgbtnbijralrwgjnulrtaofyfonfptodredyohzscrjydlbimwpnooswk
Hill,fyikotepbtlppznsnziwpalqnrtjsxhwhwinulr,nwyqbbdxobotcppokfiifkromtqlxbzqzqhbftoj
Vigenere,ibwuqwuxbeezthyjnngnhnxepjmjgchgbsnbdfbvpgxnqwqtmeohmksajimrebdffafgswyzfztdmmacpizxnbqlbmxrmmqoh,pqbujdjcbxloyhrqcsggocceiqbogvovgsgiskbowvcnjdfymxvwrklhynmklqifyhulspfokzmkbravwxexgifqbfegrmjvw
Hill,ejcpinfhevzdkgphowaybkhdgjehpinipfrbrafoio,dstgpeohxwihgukzmkoiftklxgradvjhyhulbprfia
Caesar,odlqrpjgbtacueigmxozzcjcnfogovnvdnjggszjawtenvnabackktmkkrludauislsu,wltyzxrojbikcmqoufwhhkrkvnwowdvdlvrooahriebmvdvijikssbussztclicqatac
Columnar,tfkprljpizcumlkspwtzpflvohcnzpkuxmyolulahofvldcigwqmykzxcwplqmxpsjwmbicidjlewjpycilvvtmuxvjswleq,psvuaixpiyuqfzwhmowwjjivtipoxhgcsdcxllfpudkmijtlkctcyfqpwlljjklklczxcpmepuznovmlmevsrmpzllyqbwvw
Vigenere,jtwisuoxdhaosbyuodmljmufdjwngxjdlfjuywjxrhmwqaeultrlbiuz,qxlhvbsmckhshabbssloqqjegqacfaqhaembcliaylbvthijkwypqhxg
Caesar,czxilitsxfdhqzvndyciernibxqypnogyhiztqnjpxbbxjzcerhvemvfcjuxnetfouswpkcqpgapalkiathxvnrjynpbtcurlvg,tqozczkjowuyhqmeuptzviezsohpgefxpyzqkheagossoaqtviymvdmwtaloevkwfljngbthgxrgrcbzrkyomeiapegsktlicmx
Columnar,yqtxynwrkhpalzaludmboirakiymsxllev,xralbamlxyykluoksetwpamrylxqnhzdiixv
Columnar,utttfrofukuovaqkvruxabxhbitkuqxnh,uovubxfuvxuxtfaxintkkbkxtuqathrorhqx
Columnar,qidgpysdxoxzqztyehsdhcabwlwkrnfntavqxjhoxlpkwuvfsbvlnvwtvojgyevrfnwvdr,potdwnvowbwgfriszecwnxlvlvewddqhaktjpfnovvgxzsbrahksvjrdqyxyhlfqxuvtyn
Columnar,tbvcvvadzbedoqwschosbmbnvjhrtnsrluxccchwjcvctjqijdceommvdqensjrnhlmuaqwnl,voshujimjaxvbcnscteellcehvrhjonmxvdojlwqmsuxtdwmtcvddnwbzsbncccqhnaqbrxcjvrqx
Hill,jdfhlumveduuwiopnhkwgahcbudeekqhbfcdvmlrvlxruaah,bchicxrxdjoaawhrjccwicctglyrmyndjqjrkdnyfmdcsyjp
Caesar,gxgskydymrigliwldsznydatvmdgpyezrhtdpuskhbiecwktazqbruvnnunwspbzakodbgxxonvunutkhqifuzxmeeqqxmes,bsbnftythmdbgdrgynuityvoqhybktzumcoykpnfcwdzxrfovulwmpqiipirnkwuvfjywbssjiqpipofcldapushzzllshzn
Caesar,hftwvkoulvabzultvylltqhctevdsunzoidqmdjnlqzsecsujeenyhgvsu,dbpsrgkqhrwxvqhpruhhpmdyparzoqjvkezmizfjhmvoayoqfaajudcroq
Columnar,plvwrmfkmeltutgdpsbvtbxdodvnonueuanisgyvlj,lmetsbdnagjprmuptoouslwktdvdneivxvflgbxvunyx
Columnar,xgkpqmtgeytxjrohyvnkxkvsoxrkuxptrsfauiqsydkpfnxelkkduqrsyrvcnsmvlzgq,ghstsesvxgyvxsdkrzktnrfkkvgpxkkapdcqmrkxinqsxqjxuufunxtovpqxrmxxeyorylyl
Caesar,jlwhkgyjqpjeozrosiayjuohutlynvepuakqlljldfkqvtpzkhtjheceywspqevttjmkhhuhgxedxicgvsustcesiqnnii,wyjuxtlwdcwrbmebfvnlwhbuhgylairchnxdyywyqsxdigcmxugwurprljfcdriggwzxuuhutkrqkvptifhfgprfvdaavv
Columnar,fyabavdqircmzxsergfxybkwffiidxebvofnthmxoxpgaxvodjkftnlaohedhfvhuluggpshtauisylhabzkcotvhvsvhsy,arrwehafelthtsbcgfbmxtduaavyyiekxtgkhuhlohfqsbdnpjohsycvamffvxvnhgubhxvzxiooolfgizvxdxyifxdavpsksx
Hill,mtjymzljhwbrljinbqmfoivicasnetfcw,domrbmhdoplnhdzcujzkoqsvqubyrmwtva
Columnar,wbvspkkskohrfyraucxryszizifoufxkyggmjlsjiqdkxf,vouixlxbkazfjkprxiyjxwsrsumdkyyogqxshczksfkfrfgix
Columnar,jmsxhnpojldhzmhoearobfvmlpghvhavqavjvhnphynhevjjcoziwvegdfdsljvualsavdbhr,mphefgvvyjidjshjndobpajhvzgllbhlholhvpeoesadxsozavhqhnjwfvarxjmrmvanhcvduvx
Caesar,ogwqpiirpaitdqwyqfbzkykesmfxthxvikknumdqisiyxfstbapb,woeyxqqzxiqblyegynjhsgsmaunfbpfdqssvculyqaqgfnabjixj
Vigenere,tghuvbvmcnrifairjcqppnakvsyrzfcmwqypvpvmwvaudrbozqrzybbikgbfilulypplk,cvovckktduaxmbpayjrwychlcbnyamlbdrfykwwtfkhvkaqvaxaofcirzncmrabmfyesl
Hill,counhbgolgdycbmolzhlztzyvwqoukhgsyrkqkthogvifhmgmulaijgefauvngnlwdlbvdojt,kwrwyvqqnxxrxwmuqrqliprxxfsowmhdaolxqsgxymdtyficcoxdxsyabzvodhmppqepultwoh
Columnar,riudygdqznngooqmiehzbrquycabnlxxxct,ynqzyltidgiraxdzohuncrgnmbcxuqoeqbx
Hill,dwkzqaxtljvsxfzxvxskcbxadazflxutgivbfgwjjuxdllsxqqhklljtmykljtaqppsvqpejhblgwrb,jzxcmgmlcpnpitkjubiizwbhztqxghnseakvfbhyzbajkzviyidzkzijootkijmcqbnyhqnogtdnnmsn
Caesar,lvkmjxluwgwvruksgvtczmtycufblzrbhninfdmaedgxqjgvezkxnhoze,uetvsgudfpfeadtbpeclivchldokuiakqwrwomvjnmpgzspenitgwqxin
Hill,aucvdoskexwwhpiketqflnocvghscvalyvktlzouclnfzueiduor,kqevhlsmstyebcseqvwjnoosdtjhevmbexqftikwmnjexxeuxvcr
Vigenere,kvhqxbyahlrkkkatgvokfeevyjwkqndqwiwhbbadzfboemxwnlshdbplqayifwppkihtyubrsraymvfctnhrq,jrxxiwdzdbyvfpzpwczfkdalfurppjtxhdbgxrhoukakutirskoxkmkqpwopqruogyoetzaniyltrubsaycwp
Vigenere,xphcjmvemswxddehqytxpkqrdnjhxdkgalbjfprvyzdztancyhayrjaduxrxqixeagayjxjkueptiici,swqaetechzfvyknflfcvkrzpyusfsktevskhawattgmxohwatojwmqjbpeavlpgcvnjweesiplyrdplg
Caesar,tbkgfmfjvhbzxoakorimtmgruaozjrbyacxmarycinunmictogldglxcwv,vdmihohlxjdbzqcmqtkovoitwcqbltdacezoctaekpwpokevqinfinzeyx
